U: (4.1, 4.1, -45.0)
P: (4.1, 4.1, -45.0)
U: (4.1, 4.3, -45.0)
P: (4.1, 4.3, -45.0)
U: (3.7, 4.5, -45.0)
P: (3.7, 4.5, -45.0)
U: (3.9, 4.7, -45.0)
P: (3.9, 4.7, -45.0)
U: (3.9, 4.7, -135.0)
P: (3.9, 4.7, -135.0)
U: (3.7, 4.9, -135.0)
P: (3.7, 4.9, -135.0)
U: (3.3, 4.9, -45.0)
P: (3.3, 4.9, -45.0)
U: (3.3, 4.9, -45.0)
P: (3.3, 4.9, -45.0)
U: (3.3, 4.7, -135.0)
P: (3.3, 4.7, -135.0)
U: (3.3, 4.7, -135.0)
P: (3.3, 4.7, -135.0)
U: (3.3, 4.7, -135.0)
P: (3.3, 4.7, -135.0)
U: (3.1, 4.5, -135.0)
